Fauna/Flora;Grupo;Família;Espécie (Simplificado);Nome Comum;Categoria de Ameaça;Sigla Categoria de Ameaça;Bioma;Principais Ameaças;Presença em Áreas Protegidas;Plano de Ação Nacional para Conservação (PAN);Ordenamento Pesqueiro ;Nível de Proteção na Estratégia Nacional;Espécie exclusiva do Brasil;Estados de Ocorrência
Fauna;Aves;Cracidae;Aburria jacutinga;Jacutinga;Em Perigo (EN);EN;"Cerrado; Mata Atlântica";"Agropecuária; Assentamento Humano:cidades; Extracao Direta:Caça/Pesca; Extracao Florestal";Sim;Não;Não;4;Não;"BA; ES; MG; PR; RJ; RS; SC; SP"
Fauna;Invertebrados Terrestres;Coenagrionidae;Aceratobasis cornicauda;Libélula;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades; Poluição";Sim;Não;Não;2;Sim;"BA; ES"
Fauna;Invertebrados Terrestres;Coenagrionidae;Aceratobasis mourei;Libélula;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Sim;Não;Não;2;Sim;ES
Fauna;Invertebrados Terrestres;Hypogastruridae;Acherontides eleonorae;Colêmbolo;Em Perigo (EN);EN;Mata Atlântica;"Mudanca Na Dinamica Das Especies Nativas; Outras Atividades Econômicas:Turismo";Sim;Não;Não;3;Sim;"PR; SP"
Fauna;Peixes Marinhos;Achiridae;Achirus mucuri;Solha;Vulnerável (VU);VU;Mata Atlântica;"Extracao Direta:Caça/Pesca; Outras Atividades Econômicas:Energia; Poluição Assoreamento";Sim;Não;Não;1;Sim;BA
Fauna;Aves;Furnariidae;Acrobatornis fonsecai;Acrobata;Vulnerável (VU);VU;Mata Atlântica;Agropecuária;Sim;Não;Não;2;Sim;"BA; MG"
Fauna;Invertebrados Terrestres;Nymphalidae;Actinote quadra;Borboleta-palha;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Assentamento Humano:cidades";Sim;Sim;Não;3;Sim;RJ
Fauna;Invertebrados Terrestres;Nymphalidae;Actinote zikani;Borboleta;Criticamente em Perigo (CR);CR;Mata Atlântica;Poluição;Sim;Sim;Não;2;Sim;SP
Fauna;Invertebrados Terrestres;Baetidae;Adebrotus lugoi;Siriruia;Vulnerável (VU);VU;Mata Atlântica;Agropecuária;Sim;Não;Não;2;Sim;ES
Fauna;Anfíbios;Eleutherodactylidae;Adelophryne maranguapensis;Desconhecido;Vulnerável (VU);VU;Caatinga;"Agropecuária; Assentamento Humano:cidades";Não;Sim;Não;2;Sim;CE
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla brevipalma;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Poluição";Não;Sim;Não;1;Sim;SC
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla camargoi;Egla;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Energia";Não;Sim;Não;1;Sim;"RS; SC"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla cavernicola;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Assentamento Humano:cidades; Poluição";Sim;Não;Não;2;Sim;SP
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla franca;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Industrias; Outras Atividades Econômicas:Transporte";Não;Sim;Não;1;Sim;"MG; SP"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla grisella;Egla;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Transporte; Poluição";Não;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla inconspicua;Egla;Vulnerável (VU);VU;"Mata Atlântica; Pampa";"Agropecuária; Outras Atividades Econômicas:Energia";Sim;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla inermis;Egla;Em Perigo (EN);EN;"Mata Atlântica; Pampa";"Agropecuária; Outras Atividades Econômicas:Transporte; Poluição";Sim;Sim;Não;2;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla itacolomiensis;Egla;Em Perigo (EN);EN;"Mata Atlântica; Pampa";"Agropecuária; Poluição";Não;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla lata;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Agropecuária; Poluição; Queimadas";Não;Sim;Não;1;Sim;PR
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leachi;Egla;Em Perigo (EN);EN;Mata Atlântica;"Agropecuária; Poluição";Não;Sim;Não;1;Sim;SC
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leptochela;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Especies Exoticas; Mineracao; Outras Atividades Econômicas:Turismo";Não;Não;Não;1;Sim;SP
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla leptodactyla;Egla;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Outras Atividades Econômicas:Energia";Sim;Sim;Não;1;Sim;"RS; SC"
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla ligulata;Egla;Vulnerável (VU);VU;Mata Atlântica;"Agropecuária; Poluição";Sim;Sim;Não;2;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla manuinflata;Egla;Em Perigo (EN);EN;"Mata Atlântica; Pampa";"Agropecuária; Poluição";Não;Sim;Não;1;Sim;RS
Fauna;Invertebrados Aquáticos;Aeglidae;Aegla microphthalma;Egla;Criticamente em Perigo (CR);CR;Mata Atlântica;"Especies Exoticas; Mineracao";Sim;Não;Não;2;Sim;SP
